user_id,skill_id,correct
4657743.0,0,1.0
4657743.0,1,1.0
4657743.0,2,1.0
4657743.0,3,0.0
4657743.0,4,1.0
5011523.0,0,1.0
5011523.0,1,1.0
5011523.0,2,1.0
5011523.0,3,1.0
5011523.0,4,1.0
5011523.0,5,1.0
5011523.0,6,1.0
5011523.0,7,1.0
5011523.0,8,1.0
5011523.0,9,1.0
5011523.0,10,1.0
5011523.0,11,1.0
5011523.0,12,1.0
5011523.0,13,1.0
5011523.0,14,1.0
5011523.0,15,1.0
5011523.0,16,1.0
5011523.0,17,1.0
5011523.0,18,1.0
5011523.0,19,1.0
5011523.0,20,1.0
5011523.0,21,1.0
5011523.0,22,1.0
5011523.0,23,1.0
5011523.0,24,1.0
5011523.0,25,1.0
5011523.0,26,1.0
5011523.0,27,1.0
5011523.0,28,1.0
5011523.0,29,1.0
5011523.0,30,1.0
5011523.0,34,1.0
11503334.0,0,1.0
11503334.0,1,1.0
11503334.0,2,1.0
11503334.0,3,0.0
11503334.0,4,1.0
11503334.0,5,1.0
11503334.0,6,1.0
11503334.0,7,1.0
11503334.0,8,1.0
11503334.0,9,1.0
11503334.0,10,0.0
11503334.0,11,0.0
11503334.0,12,1.0
8074484.0,0,1.0
8074484.0,1,1.0
8074484.0,2,1.0
8074484.0,3,0.0
8074484.0,4,0.0
5035764.0,0,1.0
5035764.0,1,1.0
5035764.0,2,1.0
5035764.0,3,1.0
5035764.0,4,1.0
5035764.0,5,1.0
5035764.0,6,1.0
5035764.0,7,1.0
5035764.0,8,1.0
5035764.0,9,1.0
5035764.0,10,1.0
5035764.0,11,1.0
5035764.0,12,1.0
5035764.0,13,1.0
5035764.0,14,1.0
5035764.0,15,1.0
5035764.0,16,1.0
5035764.0,17,1.0
5035764.0,18,1.0
5035764.0,19,1.0
5035764.0,20,1.0
5035764.0,21,1.0
5035764.0,22,1.0
5035764.0,23,1.0
5035764.0,24,1.0
5035764.0,25,1.0
5035764.0,26,1.0
5035764.0,27,1.0
5035764.0,28,1.0
5035764.0,29,1.0
5035764.0,30,1.0
5035764.0,31,1.0
5035764.0,32,1.0
5035764.0,33,1.0
5035764.0,34,1.0
5035764.0,35,1.0
5035764.0,36,1.0
5035764.0,37,1.0
5035764.0,38,1.0
5035764.0,39,1.0
5035764.0,40,1.0
5035764.0,41,1.0
5035764.0,42,1.0
5035764.0,43,1.0
5035764.0,44,1.0
5035764.0,45,1.0
5035764.0,46,1.0
5035764.0,47,1.0
5035764.0,48,1.0
5035764.0,49,1.0
5035764.0,50,1.0
5035764.0,51,1.0
5035764.0,52,1.0
5035764.0,53,1.0
5035764.0,54,1.0
5035764.0,55,1.0
5035764.0,56,0.0
5035764.0,57,1.0
5035764.0,58,1.0
5035764.0,59,0.0
5035764.0,60,1.0
5035764.0,61,1.0
5035764.0,62,0.0
5035764.0,63,1.0
5035764.0,64,1.0
5035764.0,65,1.0
5035764.0,66,1.0
5035764.0,67,1.0
5035764.0,68,1.0
5035764.0,69,1.0
5035764.0,70,1.0
5035764.0,71,1.0
5035764.0,72,1.0
5035764.0,73,1.0
5035764.0,74,1.0
5035764.0,75,1.0
5035764.0,76,1.0
5035764.0,77,1.0
5035764.0,78,1.0
5035764.0,79,1.0
5035764.0,80,1.0
5035764.0,81,1.0
