user_id,skill_id,correct
4657743.0,0,1
5011523.0,0,1
5011523.0,1,1
5011523.0,2,0
11503334.0,0,1
11503334.0,1,0
8074484.0,0,1
5035764.0,0,1
5035764.0,1,1
5035764.0,2,1
5035764.0,3,1
5035764.0,4,1
5035764.0,5,1
5035764.0,6,1
5035764.0,7,1
5035764.0,8,1
5035764.0,9,1
5035764.0,10,1
5035764.0,11,1
5035764.0,12,1
5035764.0,13,1
6862253.0,0,1
6862253.0,1,0
11181897.0,0,1
11181897.0,1,0
13415635.0,0,1
5618008.0,0,1
10164864.0,0,1
6085677.0,0,1
6085677.0,1,0
6085677.0,2,1
6085677.0,3,1
467394.0,0,0
12093903.0,0,1
12093903.0,1,0
8038691.0,0,1
11844904.0,0,1
11844904.0,1,1
11844904.0,2,1
11844904.0,3,1
11844904.0,4,1
11844904.0,5,0
11844904.0,6,0
11844904.0,7,1
11844904.0,8,0
11844904.0,9,1
11844904.0,10,0
10185478.0,0,1
10185478.0,1,1
10185478.0,2,1
10185478.0,3,1
10185478.0,4,1
10185478.0,5,1
10185478.0,7,0
10185478.0,8,0
10185478.0,9,1
10185478.0,11,1
11726970.0,0,1
11726970.0,1,1
11726970.0,2,1
8740504.0,0,1
9647169.0,0,1
9647169.0,1,0
6765970.0,0,1
6765970.0,1,0
8432028.0,0,1
8432028.0,1,0
3689420.0,0,1
6938960.0,0,1
6938960.0,1,0
295855.0,0,1
3684819.0,0,1
3684819.0,1,1
3684819.0,2,1
8822729.0,0,1
8822729.0,1,1
8822729.0,2,0
4587858.0,0,0
19489603.0,0,1
17480741.0,2,0
20247629.0,0,1
20247629.0,1,1
20247629.0,2,1
20247629.0,3,1
20247629.0,4,1
20247629.0,5,1
20247629.0,6,0
20247629.0,7,1
20247629.0,8,1
20247629.0,9,1
20247629.0,10,1
20247629.0,11,1
20247629.0,12,1
20247629.0,13,1
20098347.0,0,1
15447950.0,0,1
15447950.0,1,0
22817135.0,0,1
22817135.0,1,1
22817135.0,2,1
22817135.0,3,1
22817135.0,4,0
22817135.0,6,0
22817135.0,11,1
22150704.0,0,1
19736801.0,0,1
23924190.0,0,1
23924190.0,1,1
23924190.0,2,1
23924190.0,5,1
23924190.0,6,0
21273731.0,0,1
21273731.0,1,1
21273731.0,2,1
21273731.0,3,1
23657012.0,0,1
20587035.0,0,1
20195993.0,0,1
14819583.0,3,0
22304910.0,0,1
22304910.0,1,1
22304910.0,2,1
13529372.0,0,1
13529372.0,1,0
24137087.0,0,1
24137087.0,1,1
21508667.0,0,1
21508667.0,9,0
20430523.0,0,1
20430523.0,1,1
20430523.0,2,1
19191108.0,0,1
19191108.0,1,1
17984084.0,0,1
17984084.0,1,0
23645308.0,7,0
24130330.0,1,0
23904022.0,0,1
23904022.0,1,1
23904022.0,2,1
23904022.0,3,1
23904022.0,4,1
23904022.0,5,1
23904022.0,6,0
23904022.0,7,1
23904022.0,8,1
23904022.0,9,1
23904022.0,10,1
23904022.0,11,1
23904022.0,12,1
20797491.0,0,1
20797491.0,1,0
19478214.0,0,1
19478214.0,1,1
19478214.0,2,1
23067838.0,0,1
23067838.0,1,0
20388188.0,0,1
20388188.0,1,0
27129721.0,0,1
27129721.0,1,1
27129721.0,2,1
27129721.0,3,1
27129721.0,4,0
27129721.0,5,1
27129721.0,6,0
27129721.0,7,1
27129721.0,8,1
27129721.0,9,1
27129721.0,10,1
27129721.0,11,1
27129721.0,12,1
27129721.0,13,0
